"Result:CPU vUSN(2026-03-06 094524)_20260306_104633.csv"
"Save Time:2026-03-06 10:46:33"
"User Name:fraser.msusa"


"NE Type Name:vUSN"

"NE Names:CLOUDUSN;LMB_vUSN01"

"Function Subset Name:CPU performance measurement"

"Total 2,709 records"

"Start Time","Period (min)","NE Name","VM","CPU average usage (%)","CPU max usage (%)","CPU usage (%)"
"2026-03-01 02:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0081","24","25","24"
"2026-03-01 02:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_J_0075","11","12","12"
"2026-03-01 02:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_J_0076","11","12","12"
"2026-03-01 02:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0068","32","33","32"
"2026-03-01 02:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0069","30","32","31"
"2026-03-01 02:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0077","30","31","31"
"2026-03-01 02:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_P_0072","15","17","16"
"2026-03-01 02:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_P_0073","16","17","16"
"2026-03-01 02:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=LLG_USN01_OMU_0","15","17","15"
"2026-03-01 02:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=LLG_USN01_OMU_1","17","20","18"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0064","41","42","42"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0065","39","41","39"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0074","27","28","28"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0070","10","11","11"
"2026-03-01 03:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0071","10","11","10"
