"Result:CPU vUSN(2026-03-06 094524)_20260306_104527.csv"
"Save Time:2026-03-06 10:45:27"
"User Name:fraser.msusa"


"NE Type Name:vUSN"

"NE Names:CLOUDUSN;LMB_vUSN01"

"Function Subset Name:CPU performance measurement"

"Total 2,451 records"

"Start Time","Period (min)","NE Name","VM","CPU average usage (%)","CPU max usage (%)","CPU usage (%)"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0076","25","26","26"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_P_0077","20","21","21"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_P_0078","21","22","21"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=LMB_CloudUSN01_OMU_0","21","24","22"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=LMB_CloudUSN01_OMU_1","26","32","27"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=IPU_A_0064","39","40","40"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=IPU_A_0065","39","41","40"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0066","8","9","9"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0067","8","9","8"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0068","8","9","9"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0069","22","24","23"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0070","22","24","22"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0071","22","24","23"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0072","22","25","23"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0073","22","25","23"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_J_0079","11","11","11"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_J_0080","11","11","11"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0074","25","26","25"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0075","25","26","25"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0076","25","27","26"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_P_0077","21","22","21"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_P_0078","21","23","22"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=LMB_CloudUSN01_OMU_0","21","32","22"
"2026-03-01 03:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=LMB_CloudUSN01_OMU_1","26","33","26"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=IPU_A_0064","39","41","41"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=IPU_A_0065","40","41","41"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0066","9","9","9"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0067","8","9","8"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0068","8","9","9"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0069","22","23","23"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0070","22","23","23"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0071","22","24","24"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0072","23","24","24"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0073","23","24","24"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_J_0079","11","11","11"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_J_0080","11","12","11"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0074","25","26","26"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0075","25","26","26"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0076","25","26","26"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_P_0077","21","22","22"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_P_0078","22","23","22"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=LMB_CloudUSN01_OMU_0","21","24","21"
"2026-03-01 04:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=LMB_CloudUSN01_OMU_1","26","30","26"
"2026-03-01 05:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0075","26","29","28"
"2026-03-01 05:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0066","9","10","10"
