

"Alarm Records -- Current Alarms"
"Save Time: 2026-03-09 11:30:39"
"Username: fraser.msusa"
"Maintenance Status is in NORMAL.
Alarm source = CLOUDUSN,csdb@CLOUDUSN,csdb@LMB_vUSN01,cslb@CLOUDUSN,cslb@LMB_vUSN01..."

" ","Severity","Alarm ID","Name","NE Type","Alarm Source","MO Name","Location Information","Occurrence Times","First Occurred (NT)","Last Occurred (NT)","Cleared On (NT)","Acknowledged On (ST)","Cleared By","Acknowledged By","Clearance Status","RRU Name","CELL Name","Acknowledgement Status","BBU Name","eNodeB ID","gNodeB ID","Log Serial Number","User Label","Equipment Alarm Serial Number","Additional Information","Maintenance Status","Subnet"
"		-","Major","80610","GTPC Tunnel Path Broken","vUSN","CLOUDUSN","link","Local IP=41.78.251.10, Peer IP=196.201.220.41, Path Interface type=GTP path EPC","1","2026-03-09 07:06:44","2026-03-09 07:06:44","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592576335","		-","4069080","Process Type=UPP, Interface Between the PLMN NEs=S10, VM NAME=SPU_O_0069, Physical VM ID=ba96d681-0b6d-470b-9108-66c054b767f4","NORMAL","ROOT"
"		-","Major","80610","GTPC Tunnel Path Broken","vUSN","CLOUDUSN","link","Local IP=41.78.251.10, Peer IP=196.201.220.1, Path Interface type=GTP path GU","1","2026-03-09 07:05:18","2026-03-09 07:05:18","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592576243","		-","4069079","Process Type=UPP, Interface Between the PLMN NEs=Gn, VM NAME=SPU_O_0069, Physical VM ID=ba96d681-0b6d-470b-9108-66c054b767f4","NORMAL","ROOT"
"		-","Major","80610","GTPC Tunnel Path Broken","vUSN","CLOUDUSN","link","Local IP=41.78.251.10, Peer IP=196.201.220.26, Path Interface type=GTP path EPC","1","2026-03-09 07:04:30","2026-03-09 07:04:30","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592576187","		-","4069076","Process Type=UPP, Interface Between the PLMN NEs=S10, VM NAME=SPU_O_0069, Physical VM ID=ba96d681-0b6d-470b-9108-66c054b767f4","NORMAL","ROOT"
"		-","Major","80610","GTPC Tunnel Path Broken","vUSN","CLOUDUSN","link","Local IP=41.78.251.10, Peer IP=196.201.211.135, Path Interface type=GTP path EPC","1","2026-03-09 07:04:00","2026-03-09 07:04:00","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592576146","		-","4069074","Process Type=UPP, Interface Between the PLMN NEs=S10, VM NAME=SPU_O_0069, Physical VM ID=ba96d681-0b6d-470b-9108-66c054b767f4","NORMAL","ROOT"
"		-","Major","80610","GTPC Tunnel Path Broken","vUSN","CLOUDUSN","link","Local IP=41.78.251.10, Peer IP=10.205.139.107, Path Interface type=GTP path EPC","1","2026-03-09 05:18:53","2026-03-09 05:18:53","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592568659","		-","4068997","Process Type=UPP, Interface Between the PLMN NEs=S10, VM NAME=SPU_O_0069, Physical VM ID=ba96d681-0b6d-470b-9108-66c054b767f4","NORMAL","ROOT"
"		-","Major","80589","S1ap Link Down","vUSN","LMB_vUSN01","link","Mobile Country Code=650, Mobile Network Code=01, eNodeB Type=MACRO, eNodeB Id=10132","1","2026-03-09 04:43:04","2026-03-09 04:43:04","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592565004","		-","1304331","RU Name=LINK_SP_RU_0065, Process Type=SGP, Process No.=4, eNodeB Name=TN13021-4G-LMC-Zanguza, eNodeB IP Address 1=172.26.9.146, eNodeB IP Address 2=0.0.0.0, eNodeB port=35000, VM NAME=SPU_O_0075, Physical VM ID=5f3e6dbc-d3ff-41cb-ab1f-173bb0b3888b","NORMAL","ROOT"
"		-","Major","80589","S1ap Link Down","vUSN","CLOUDUSN","link","Mobile Country Code=650, Mobile Network Code=01, eNodeB Type=MACRO, eNodeB Id=10132","1","2026-03-09 04:42:47","2026-03-09 04:42:47","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592564985","		-","4068957","RU Name=LINK_SP_RU_0065, Process Type=SGP, Process No.=4, eNodeB Name=TN13021-4G-LMC-Zanguza, eNodeB IP Address 1=172.26.9.146, eNodeB IP Address 2=0.0.0.0, eNodeB port=35000, VM NAME=SPU_O_0069, Physical VM ID=ba96d681-0b6d-470b-9108-66c054b767f4","NORMAL","ROOT"
"		-","Major","80610","GTPC Tunnel Path Broken","vUSN","CLOUDUSN","link","Local IP=41.78.251.10, Peer IP=10.205.187.107, Path Interface type=GTP path EPC","1","2026-03-09 04:29:56","2026-03-09 04:29:56","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592564121","		-","4068946","Process Type=UPP, Interface Between the PLMN NEs=S10, VM NAME=SPU_O_0069, Physical VM ID=ba96d681-0b6d-470b-9108-66c054b767f4","NORMAL","ROOT"
"		-","Critical","157024261","License Has Entered Grace Period","vUSN","LMB_vUSN01","usn","		-","1","2026-03-09 02:19:36","2026-03-09 02:19:36","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592552671","		-","412794","MO=LcsAlarmInfo, reason=License deadline over, remainDay=29, featureName=Trial0","NORMAL","ROOT"
"		-","Critical","157024261","License Has Entered Grace Period","vUSN","LMB_vUSN01","link","		-","1","2026-03-09 02:17:28","2026-03-09 02:17:28","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592552543","		-","1304187","MO=LcsAlarmInfo, reason=License deadline over, remainDay=29, featureName=Trial0","NORMAL","ROOT"
